Alipurduar,Bankura,Birbhum,Dakshin Dinajpur,Darjiling,Hugli,Jalpaiguri,Jhargram,Koch Bihar,Maldah,Murshidabad,Nadia,North 24 Parganas,Paschim Barddhaman,Pashchim Medinipur,Purba Barddhaman,Purba Medinipur,Puruliya,South 24 Parganas,Uttar Dinajpur,Kalimpong,Haora,Kolkata
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.011596227142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8160634428571429,0.18430202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.7273847,9.861695285714287,2.290597,0.0,9.0691675,0.0,10.258636200000002,0.315261318,0.19689080799999997,10.389298285714286,9.264604199999999,9.375785625,8.7792485,9.683581777777778,9.681496333333333,10.189269999999999,3.686455488888889,10.158164833333332,0.48824414,0.0,9.732318,10.440393
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2928624666666666,1.4884654266666666,0.0,0.0,1.250771565,0.0,2.15799657,0.0,0.030467191999999997,0.0,0.0,0.0,0.0,0.38107505,0.0,0.0,0.0,4.397530422222222,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009869997375,0.0,0.0,0.0,0.0,0.0,0.0020308876666666666,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0014563888888888888,0.0,0.0,0.0,0.0,0.0,0.020502652599999997,0.0,0.0,0.0,0.0,0.0,0.0,0.002952205111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.906298000000003,0.6544950233333333,0.0,19.228085749999998,15.522965,0.3200529833333334,20.130794,4.87327656,26.9974584,14.502639199999999,0.0,0.06588508,6.564858575,0.0,4.360065706666667,0.0,6.89927696,0.3098901666666667,7.411117333333333,24.847218833333333,31.961943,4.3529363,6.9106493
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18837276625000002,0.0,0.0,0.0,0.0,0.0,0.13849341333333334,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.055218249999999997,0.0,0.0,0.0,0.0,0.0,0.0,3.28258143125,0.0,0.0,0.0,0.0,0.0,0.24316490000000002,0.0,0.0,0.0,1.4941348
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074232924,0.6411937375000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.831059825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.75123322,0.0,0.0,0.0,0.32142766666666667,0.0,5.57510192,0.0,0.0,0.0,0.0,3.2542601500000004,0.0,5.122832116666667,0.0,7.819324900000001,0.3560957777777778,8.6700655,0.0,0.0,5.899434,6.977096
0.37925226666666667,0.17888823666666667,0.0,0.0,4.5063741,0.0,3.657917125,2.7870075400000003,0.0,0.0,0.0,0.0,3.2977898999999997,0.0,3.331014511111111,0.0,7.02857708,0.0,5.880959283333333,1.1249399,1.293049,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616934732,0.0,0.0,0.0,0.032412288,0.5593226,0.0,0.2602525677777778,0.0,0.0,0.0,0.41758279,0.0,0.0,0.0,0.0
0.0,0.48868096666666666,0.0,0.0,0.0,0.4117264733333333,0.0,2.1206686,0.0,0.0,0.0,0.047558022,5.347672125,0.0,1.6907641511111111,0.0,1.0642231,0.3773964,3.170951666666667,0.0,0.0,6.5566735,9.761456
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007491783333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3555741666666667,0.8542025633333332,0.0,0.0,4.1425857,0.45111635,3.090469875,6.1403571,0.0,0.0,0.0,0.08558895600000001,10.0136042625,0.0,5.82731595,0.0,8.786224899999999,0.4214578888888889,10.412597,1.714150616666667,0.93021303,7.270647,10.511341
0.0,0.0,0.0,0.0,0.0,0.1656722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021299535555555554,0.0,1.0847622,0.0,1.6229571666666667,0.0,0.1176163,6.859541,0.0
0.0,0.0,0.0,0.0,0.0,0.07305046833333333,0.0,0.0,0.0,0.0,0.0,0.12144634800000001,10.9666066625,0.0,0.0,0.0,0.0,0.0,8.473565166666667,0.0,0.0,0.0,9.5041685
0.0,0.0,0.0,0.0,0.0,0.31556601666666667,0.0,0.5249146436000001,0.0,0.0,0.0,0.0,0.0,0.0,2.885142942222222,0.0,3.04496074,0.0,0.7696794389999999,0.0,0.0,4.210391,2.1635897
4.5518872,39.979467888888884,38.21436871428572,22.7133,0.0,54.54155133333333,0.0,8.36126364,9.8023206,26.146981,30.854873285714287,43.5255958,8.2167994125,52.029898,26.680802955555556,41.73070383333333,0.0,42.710089,0.0813292,4.97956381,0.0,8.890625,0.0
0.6398586,7.796369533333333,4.0543464857142855,0.0,3.1339495,0.26723936666666664,3.011368175,25.2476574,1.6091378680000001,0.7311221999999999,0.8329500771428571,0.0,0.0,0.92928845,6.085417233333334,0.0,2.8767864199999997,10.142392495555555,0.03253592,1.5971849916666667,0.9914472,0.0,1.1684213
0.0,0.19987290777777778,0.0,0.0,0.0,0.0,0.0,0.0268328,0.0,0.0,0.0,0.0,0.726546825,0.0,0.02180043333333333,0.0,0.0,0.033194263333333335,0.021538349999999998,0.0,0.0,0.15051155,0.8096012
0.20700719,0.019383296666666668,0.0,0.0,0.0,0.03194186166666667,0.86982134,1.207239398,0.0,0.0,0.0,0.0313849,1.4881476150000001,0.0,0.2014694711111111,0.0,0.079580728,0.07719126666666667,0.11790265,0.49897568333333336,0.0,0.0,0.6768936
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259428036,0.0,0.0,0.0,0.0,1.412926145,0.0,0.5016934615555555,0.0,0.951938034,0.0,2.2999594066666664,0.0,0.0,0.0,0.9511561
3.2420832999999996,0.0,0.15110455714285714,0.0,1.921524,0.0,2.00550425,2.45732898,1.8447344600000002,0.0,0.40296733142857144,0.0,0.0553689875,0.0,1.1576592222222222,0.0,0.6401627999999999,0.0,1.11599275,0.9988706999999999,0.0,0.0,0.0
0.0,0.022152985555555556,0.4503906142857143,2.1582542499999997,0.0,0.0,0.0,0.948681472,0.029033688000000002,0.710047,0.4581651,0.0,0.00997270925,0.0,1.0616065066666667,0.0261381,0.032071388,0.0,0.0,2.517061716666667,0.0,0.0,0.0
0.0,2.61206922,0.31751085714285715,0.0,0.53399565,4.395637833333333,0.0,1.0865139,0.0,0.0,0.37978151,1.314177806,1.8162104875,0.0,3.0510174111111112,1.6942427166666667,0.0,1.8244983600000002,0.0,0.0,0.0,4.442369,3.9342196
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.6687489328571429,1.0572956,0.42527935,0.0,0.0,0.0,0.0,2.5008461892,0.0,0.025689336,0.11147870875,0.0,0.5506028111111111,0.2581917733333333,1.5397139,0.06757967222222222,0.8387807666666668,0.3015525666666667,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.2305398,0.0,0.8809916375,0.03743014,1.19901019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1673181833333333,6.936375,0.0,0.0
0.0,0.12385560000000001,1.6300299285714286,0.0,0.0,0.12497393333333333,0.0,0.0,0.0,0.0,2.719467757142857,0.76885584,0.178494395,0.0,0.9815608299999999,0.44397809666666666,1.7580935099999997,0.031129048888888886,1.6239987333333332,0.051216373333333336,0.0,0.0,0.0
